Datum ;Zeit ;AT [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
27.04.2018;00:03:02;12,2;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:04:02;12,2;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:05:02;12,2;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:06:02;12,2;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:07:02;12,2;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,9;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:08:02;12,2;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:09:02;12,2;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:10:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:11:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:12:02;12,1;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,9;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:13:02;12,1;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:14:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,6;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:15:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:16:02;12,1;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:17:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:18:02;12,1;0;17,1;8,0;0,0;8,0;0;0;17,1;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:19:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:20:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:21:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:22:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:23:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:24:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,6;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:25:02;12,1;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:26:02;12,0;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:27:02;12,0;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:28:02;12,0;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,5;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
27.04.2018;00:29:02;12,0;0;17,0;8,0;0,0;8,0;0;0;17,0;8,0;35,0;0;16,6;8,0;0,00;0,00;0;0;44,8;110,0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;
